
################################################################################
#############################   Model: best_grid   #############################
################################################################################
ln(P)                                   -9.859980534474787e+03
Mass                                     1.020000000000000e+00
log_Z                                   -1.756961951313706e+00
Age                                      3.368547290000000e+03
Radius                                   1.006709860000172e+00
Mass                                     1.020000000000000e+00
log_g                                    4.441090238844251e+00
Rho                                      1.410574280338591e+00
Age                                      3.368547290000000e+03
Teff                                     5.824924357710000e+03
X                                        7.130000000000000e-01
numax                                    3.111138023048585e+03
Dnu                                      1.372336087307246e+02
Luminosity                               1.046689023744209e+00
Fe_H                                     2.554810516500508e-03
M_H                                      2.554810516500508e-03

################################################################################
################################   Frequencies   ###############################
################################################################################
l    n    freq_theo         freq_obs          dfreq_obs        
   0   16  2.3592476000e+03  2.3628112788e+03  8.2804864956e-02
   0   17  2.4931621000e+03  2.4963355340e+03  9.5877083264e-02
   0   18  2.6272611000e+03  2.6299266848e+03  7.9588943785e-02
   0   19  2.7620236000e+03  2.7644117191e+03  9.9141285116e-02
   0   20  2.8979345000e+03  2.8990688381e+03  5.4368308302e-02
   0   21  3.0341988000e+03  3.0337662282e+03  6.2248049536e-02
   0   22  3.1704913000e+03  3.1684988204e+03  6.5192230911e-02
   0   23  3.3069374000e+03  3.3036198283e+03  9.3280790450e-02
   0   24  3.4434813000e+03  3.4391237056e+03  1.7155854240e-01
   0   25  3.5806132000e+03  3.5752018388e+03  3.9969659523e-01
   0   26  3.7180165000e+03  3.7102780825e+03  1.0606908060e+00
   1   16  2.4221816000e+03  2.4255055737e+03  7.0311213432e-02
   1   17  2.5560525000e+03  2.5590981038e+03  1.1363468969e-01
   1   18  2.6905672000e+03  2.6934766215e+03  8.3833767613e-02
   1   19  2.8261501000e+03  2.8282509143e+03  7.4300506031e-02
   1   20  2.9623098000e+03  2.9633226649e+03  5.7353027221e-02
   1   21  3.0988885000e+03  3.0980936626e+03  7.1721385830e-02
   1   22  3.2352696000e+03  3.2332108385e+03  9.8407909285e-02
   1   23  3.3718928000e+03  3.3686894165e+03  1.2217795716e-01
   1   24  3.5088502000e+03  3.5041747186e+03  1.6962792230e-01
   1   25  3.6461616000e+03  3.6407413065e+03  2.4187695863e-01
   1   26  3.7839023000e+03  3.7773381406e+03  2.6654387587e-01
   2   16  2.4815548000e+03  2.4856641370e+03  1.9571192150e-01
   2   17  2.6158757000e+03  2.6195484139e+03  1.3436832302e-01
   2   18  2.7508447000e+03  2.7545177696e+03  2.0794177871e-01
   2   19  2.8870266000e+03  2.8896884870e+03  1.4777646094e-01
   2   20  3.0235467000e+03  3.0246940817e+03  8.9511383593e-02
   2   21  3.1601717000e+03  3.1597980031e+03  1.1033807461e-01
   2   22  3.2968839000e+03  3.2951078659e+03  1.1315880283e-01
   2   23  3.4336912000e+03  3.4305994914e+03  2.8707067117e-01
   2   24  3.5710792000e+03  3.5669815606e+03  3.2639501044e-01
   2   25  3.7087122000e+03  3.7034402519e+03  3.0537801449e-01
   2   26  3.8466710000e+03  3.8400245931e+03  3.8242072203e-01
