
################################################################################
#############################   Model: best_MCMC   #############################
################################################################################
ln(P)                                   -4.016308689289327e+01
Mass                                     1.070020475928038e+00
log_Z                                   -1.758459835048824e+00
mHe                                      1.939843181289407e-01
Radius                                   5.272723790915820e+00
Mass                                     1.070020475928038e+00
log_g                                    3.023381009582322e+00
Rho                                      1.029049245712600e-02
Age                                      9.626248280045022e+03
Teff                                     4.664265892111323e+03
X                                        7.130985465047053e-01
numax                                    1.328970280520233e+02
Dnu                                      1.114679673332154e+01
Luminosity                               1.185492657693743e+01
Fe_H                                     1.399319276102907e-03
M_H                                      1.399319276102907e-03
DNl1                                     8.640431575860406e+01

################################################################################
################################   Frequencies   ###############################
################################################################################
l    n    freq_theo         freq_obs          dfreq_obs        
   0    1  1.7620895107e+01  1.7620488000e+01  5.6328968531e-03
   0    2  3.2804160318e+01  3.2803918000e+01  1.3364423384e-02
   0    3  4.6147508814e+01  4.6147173000e+01  2.8218674209e-02
   0    4  5.8890931466e+01  5.8890699000e+01  2.8865860034e-02
   0    5  7.0537794156e+01  7.0538011000e+01  1.4803049445e-02
   0    6  8.1397209416e+01  8.1397177000e+01  2.6609251497e-02
   0    7  9.2632206706e+01  9.2632314000e+01  1.8146905848e-02
   0    8  1.0344242152e+02  1.0344235000e+02  2.4831353728e-02
   0    9  1.1454994299e+02  1.1454943000e+02  1.8400340123e-02
   0   10  1.2596182349e+02  1.2596129000e+02  2.0795293368e-02
   0   11  1.3730728780e+02  1.3730648000e+02  2.4389405247e-02
   0   12  1.4884079299e+02  1.4883971000e+02  1.1495586117e-02
   0   13  1.6051680141e+02  1.6051560000e+02  2.8328189735e-02
   0   14  1.7221763031e+02  1.7221626000e+02  2.9637435108e-02
   0   15  1.8398015294e+02  1.8397868000e+02  1.0684527069e-02
   0   16  1.9576568412e+02  1.9576416000e+02  2.2853326224e-02
   0   17  2.0755131361e+02  2.0754978000e+02  1.0333189739e-02
   0   18  2.1932927499e+02  2.1932789000e+02  2.3995447341e-02
   0   19  2.3104111479e+02  2.3104008000e+02  2.0134545248e-02
   0   20  2.4263376891e+02  2.4263344000e+02  2.7188883843e-02
   0   21  2.5402491579e+02  2.5402588000e+02  1.4095468343e-02
   0   22  2.6508607517e+02  2.6508865000e+02  2.1638810900e-02
   0   23  2.7575676477e+02  2.7575988000e+02  1.7456108419e-02
   0   24  2.8623522857e+02  2.8623713000e+02  1.8151593761e-02
   0   25  2.9691740352e+02  2.9691783000e+02  7.8093440702e-03
   0   26  3.0799153028e+02  3.0799109000e+02  2.5450000946e-02
   0   27  3.1937847073e+02  3.1937760000e+02  2.5620893326e-02
   0   28  3.3095648574e+02  3.3095543000e+02  2.9500099091e-02
